Стекло,1341,99,-173,569.4271,Космопластмасса,Сталь,Металл,51,11,Металл,23,2,Космопластмасса,2080,306,-317,Красный,Желтый,32,Сталь,63,61,173,93,8,true,49,72,9,16,95,972.4259758987911,994.3625097281476,992.5857812304711,false,ALLRIGHT,name,Mon May 07 13:21:40 MSK 2018,
Стекло,1072,87,-179,468.3124,Космопластмасса,Сталь,Металл,59,5,Металл,54,2,Космопластмасса,1566,265,-274,Зеленый,Желтый,32,Сталь,50,50,95,52,9,true,48,91,5,27,142,992.6352662077152,978.8229792443213,979.0009556461496,false,ALLRIGHT,name,Mon May 07 13:21:39 MSK 2018,
Стекло,1828,163,-225,956.9821,Космопластмасса,Сталь,Металл,53,6,Металл,67,3,Космопластмасса,2335,266,-329,Красный,Желтый,32,Сталь,59,67,244,99,6,true,10,86,8,70,411,990.221737038585,987.5721361683896,946.9596991279375,false,NOT_ALLRIGHT,name,Mon May 07 13:21:43 MSK 2018,
Стекло,1962,121,-150,115.10654,Космопластмасса,Сталь,Металл,20,5,Металл,73,3,Космопластмасса,2614,117,-330,Зеленый,Желтый,32,Сталь,65,98,487,73,8,true,47,86,6,94,240,979.1997391304103,974.6061106967153,970.8667195292951,false,ALLRIGHT,name,Mon May 07 13:21:41 MSK 2018,
Стекло,1106,200,-147,205.79704,Космопластмасса,Сталь,Металл,20,8,Металл,86,6,Космопластмасса,2789,317,-345,Красный,Желтый,32,Сталь,89,53,443,57,5,true,8,57,6,17,86,962.2993909583992,966.9388687752504,968.7163074335161,false,ALLRIGHT,name,Mon May 07 13:21:39 MSK 2018,
Стекло,1660,70,-187,131.37082,Космопластмасса,Сталь,Металл,28,10,Металл,50,5,Космопластмасса,2696,121,-359,Синий,Красный,32,Сталь,96,72,266,85,6,true,53,58,5,80,182,884.7417411617167,993.4652330182251,994.1961803954518,false,ALLRIGHT,name,Mon May 07 13:21:42 MSK 2018,
Стекло,1023,151,-118,891.8987,Космопластмасса,Сталь,Металл,60,5,Металл,26,6,Космопластмасса,1858,312,-192,Зеленый,Синий,32,Сталь,58,53,86,89,8,true,39,58,5,62,127,940.1787889039283,939.0289357747819,982.3448384060486,false,NOT_ALLRIGHT,name,Mon May 07 13:21:40 MSK 2018,
Стекло,1582,260,-81,837.52454,Космопластмасса,Сталь,Металл,40,9,Металл,64,5,Космопластмасса,1417,310,-94,Желтый,Зеленый,32,Сталь,78,75,305,92,5,true,69,89,7,36,276,865.8618873426996,989.9168928324898,993.257939755739,false,ALLRIGHT,name,Mon May 07 13:21:39 MSK 2018,
Стекло,1857,82,-148,992.1359,Космопластмасса,Сталь,Металл,60,10,Металл,41,5,Космопластмасса,2117,230,-92,Зеленый,Желтый,32,Сталь,73,92,297,64,8,true,96,88,5,56,112,981.3866632864386,868.2255121486141,999.1796929204772,false,ALLRIGHT,name,Mon May 07 13:21:43 MSK 2018,
Стекло,1827,212,-225,320.585,Космопластмасса,Сталь,Металл,44,11,Металл,74,6,Космопластмасса,1312,238,-270,Желтый,Желтый,32,Сталь,60,90,361,92,6,true,67,60,5,38,331,978.0976587277926,992.7898545600667,877.3152894501849,false,NOT_ALLRIGHT,name,Mon May 07 13:21:39 MSK 2018,
Стекло,1225,190,-186,611.1794,Космопластмасса,Сталь,Металл,40,11,Металл,64,2,Космопластмасса,1025,163,-211,Зеленый,Красный,32,Сталь,65,52,104,60,7,true,5,80,8,7,188,978.5861537947111,918.5494159466037,941.6007401958146,false,ALLRIGHT,name,Mon May 07 13:21:40 MSK 2018,
Стекло,1103,222,-259,325.89725,Космопластмасса,Сталь,Металл,69,5,Металл,24,3,Космопластмасса,1253,307,-144,Зеленый,Желтый,32,Сталь,74,82,219,60,7,true,8,78,8,54,61,978.4874326167102,946.6340063926207,906.2120377189217,false,ALLRIGHT,name,Mon May 07 13:21:44 MSK 2018,
Стекло,1701,183,-87,562.3034,Космопластмасса,Сталь,Металл,64,3,Металл,60,4,Космопластмасса,2826,331,-184,Желтый,Зеленый,32,Сталь,71,78,32,62,7,true,3,96,9,56,193,979.4157157780722,920.0243797843971,930.6675838813493,false,ALLRIGHT,name,Mon May 07 13:21:39 MSK 2018,
Стекло,1029,263,-158,342.32968,Космопластмасса,Сталь,Металл,60,6,Металл,81,4,Космопластмасса,1523,223,-329,Красный,Зеленый,32,Сталь,86,83,143,84,9,true,72,73,6,92,446,985.6926369954977,948.760586472866,880.2353238589604,false,ALLRIGHT,name,Mon May 07 13:21:40 MSK 2018,
Стекло,1141,138,-80,995.68646,Космопластмасса,Сталь,Металл,65,10,Металл,54,2,Космопластмасса,1607,91,-353,Красный,Зеленый,32,Сталь,94,90,364,96,6,true,29,93,7,94,20,942.0090699432818,921.3484653540322,953.6759959847496,false,ALLRIGHT,name,Mon May 07 13:21:41 MSK 2018,
